Primary_Key,Year,Store_Number,count,Shortage_Percent,Sales,Shortage
95,2019,Store_6009,1,0.011997929,49945096.07,599237.72
96,2020,Store_6009,1,0.008198217,48842244.56,400419.31
97,2021,Store_6009,1,0.008447156,61382920.31,518511.1
98,2022,Store_6009,1,0.010994148,59171751.26,650543.01
99,2023,Store_6009,1,0,0,0
100,2018,Store_3720,1,0.002956681,24174555.47,71476.44
101,2019,Store_3720,1,0.005666795,24571553.3,139241.96
102,2020,Store_3720,1,0.007372624,24740592,182403.07
103,2021,Store_3720,1,0.005835462,41786038.15,243840.85
104,2022,Store_3720,1,0.013741999,37602234.97,516729.86
105,2023,Store_3720,1,0,0,0
106,2018,Store_4501,1,0.01446588,29088724.79,420794.01
107,2019,Store_4501,1,0.009165751,30106834.98,275951.74
108,2020,Store_4501,1,0.011361471,32968337.94,374568.8
109,2021,Store_4501,1,0.011997199,61155412.68,733693.63
110,2022,Store_4501,1,0.012270372,17518602.03,214959.76
111,2023,Store_4501,1,0.021194,37342724.87,791441.88
112,2018,Store_7205,1,0.027461726,21540546.95,591540.59
113,2019,Store_7205,1,0.019201988,25408243.94,487888.79
114,2020,Store_7205,1,0.013932676,41170607.01,573616.71
115,2021,Store_7205,1,0.004710331,29468860.99,138808.09
116,2022,Store_7205,1,0.014581449,41153805.14,600082.1
117,2023,Store_7205,1,0,0,0
118,2018,Store_2458,1,0.004558584,30224868.38,137782.6
119,2019,Store_2458,1,0.005743335,26056510.4,149651.27
120,2020,Store_2458,1,0.007608546,43514724.86,331083.78
121,2021,Store_2458,1,0.004537676,38297304.41,173780.74
122,2022,Store_2458,1,0.012301096,41750066.72,513571.59
123,2023,Store_2458,1,0.015123,26086770.44,394510.9
124,2018,Store_7455,1,0.016909412,24254572.33,410130.55
125,2019,Store_7455,1,0.02241767,28320634.71,634882.63
126,2020,Store_7455,1,0.017781107,23486785.72,417621.06
127,2021,Store_7455,1,0.016476439,36635713.09,603626.1
128,2022,Store_7455,1,0.017247608,54266209.85,935962.33
129,2023,Store_7455,1,0,0,0
130,2018,Store_0197,1,0.012220946,41700873.01,509624.13
131,2019,Store_0197,1,0.010701721,40186362.62,430063.26
132,2021,Store_0197,1,0.011757276,90520205.32,1064271.07
133,2022,Store_0197,1,0.011958654,78576945.21,939674.48
134,2023,Store_0197,1,0,0,0
135,2018,Store_2549,1,0.006324278,33086108.29,209245.76
136,2019,Store_2549,1,0.007093854,27807130.23,197259.73
