weekday_number,weekday,records,mean_tip,median_tip,total_tips,mean_order_cost,total_order_cost,mean_recorded_minutes,median_recorded_minutes,recorded_dates,zero_tip_records,zero_duration_records,weighted_tip_rate,share_of_records,fewer_than_30_records
1,Monday,85,7.8331764706,6.0000000000,665.8200000000,41.2356470588,3505.0300000000,42.2000000000,41.0000000000,13,0,1,0.1899612842,0.0679456435,False
2,Tuesday,17,7.4976470588,6.6000000000,127.4600000000,39.7370588235,675.5300000000,41.6470588235,38.0000000000,3,0,0,0.1886814797,0.0135891287,True
3,Wednesday,45,8.0675555556,6.0000000000,363.0400000000,51.6317777778,2323.4300000000,35.5555555556,36.0000000000,8,1,1,0.1562517485,0.0359712230,False
4,Thursday,6,6.7450000000,5.0000000000,40.4700000000,53.3383333333,320.0300000000,52.1666666667,49.0000000000,2,0,0,0.1264568947,0.0047961631,True
5,Friday,367,7.4687738420,6.0000000000,2741.0400000000,42.9404904632,15759.1600000000,41.2343324251,41.0000000000,53,2,17,0.1739331284,0.2933653078,False
6,Saturday,334,7.1800598802,6.0000000000,2398.1400000000,42.6916167665,14259.0000000000,39.5269461078,39.5000000000,53,3,10,0.1681843046,0.2669864109,False
7,Sunday,397,6.5428715365,5.1200000000,2597.5200000000,38.8085894207,15407.0100000000,40.4130982368,40.0000000000,54,2,5,0.1685933870,0.3173461231,False
