OrderNum,Date,Cost,Tip,Tip Percentage,Order Time,Delivery Time,Total Delivery Time,City,Housing
1239,2018-09-22,22.14,3.0,0.1355,1900-01-01 19:50:00,1900-01-01 20:28:00,0:38,Frisco,Residential
1030,2018-07-06,28.36,6.0,0.2116,1900-01-01 20:03:00,1900-01-01 20:42:00,0:39,Frisco,Residential
1053,2018-07-15,31.83,6.0,0.1885,1900-01-01 18:26:00,1900-01-01 19:05:00,0:39,Frisco,Residential
1080,2018-07-28,16.51,2.0,0.1211,1900-01-01 17:48:00,1900-01-01 18:27:00,0:39,Frisco,Residential
1082,2018-07-28,41.62,8.0,0.1922,1900-01-01 20:00:00,1900-01-01 20:39:00,0:39,Frisco,Residential
1249,2018-09-23,41.3,5.0,0.1211,1900-01-01 18:35:00,1900-01-01 19:14:00,0:39,Frisco,Residential
1035,2018-07-08,20.57,5.43,0.264,1900-01-01 13:19:00,1900-01-01 13:59:00,0:40,Frisco,Residential
1100,2018-08-05,13.53,4.0,0.2956,1900-01-01 18:36:00,1900-01-01 19:16:00,0:40,Frisco,Residential
1113,2018-08-11,45.9,3.0,0.0654,1900-01-01 19:06:00,1900-01-01 19:46:00,0:40,Frisco,Residential
1194,2018-09-08,18.35,3.0,0.1635,1900-01-01 18:44:00,1900-01-01 19:24:00,0:40,Frisco,Residential
1006,2018-06-25,20.24,4.76,0.2352,1900-01-01 20:29:00,1900-01-01 21:10:00,0:41,Frisco,Residential
1023,2018-07-06,55.15,5.0,0.0907,1900-01-01 16:56:00,1900-01-01 17:37:00,0:41,Frisco,Residential
1140,2018-08-19,21.05,3.0,0.1425,1900-01-01 17:44:00,1900-01-01 18:25:00,0:41,Frisco,Residential
1204,2018-09-10,38.65,7.0,0.1811,1900-01-01 19:07:00,1900-01-01 19:48:00,0:41,Frisco,Residential
1206,2018-09-10,48.83,8.77,0.1796,1900-01-01 21:21:00,1900-01-01 22:02:00,0:41,Frisco,Residential
1241,2018-09-22,24.9,5.1,0.2048,1900-01-01 20:34:00,1900-01-01 21:15:00,0:41,Frisco,Residential
1121,2018-08-12,23.22,5.0,0.2153,1900-01-01 17:22:00,1900-01-01 18:04:00,0:42,Frisco,Residential
1159,2018-08-31,40.0,6.0,0.15,1900-01-01 20:38:00,1900-01-01 21:21:00,0:43,Frisco,Residential
1193,2018-09-08,14.51,5.0,0.3446,1900-01-01 18:27:00,1900-01-01 19:10:00,0:43,Frisco,Residential
1233,2018-09-22,43.19,6.0,0.1389,1900-01-01 17:39:00,1900-01-01 18:22:00,0:43,Frisco,Residential
1235,2018-09-22,41.89,6.0,0.1432,1900-01-01 18:00:00,1900-01-01 18:43:00,0:43,Frisco,Residential
1004,2018-06-25,70.69,19.31,0.2732,1900-01-01 19:48:00,1900-01-01 20:32:00,0:44,Frisco,Residential
1005,2018-06-25,33.83,26.17,0.7736,1900-01-01 20:14:00,1900-01-01 20:58:00,0:44,Frisco,Residential
1101,2018-08-10,34.26,5.0,0.1459,1900-01-01 18:04:00,1900-01-01 18:48:00,0:44,Frisco,Residential
1169,2018-09-01,49.47,7.0,0.1415,1900-01-01 19:56:00,1900-01-01 20:40:00,0:44,Frisco,Residential
1232,2018-09-22,44.82,3.0,0.0669,1900-01-01 16:42:00,1900-01-01 17:26:00,0:44,Frisco,Residential
1093,2018-08-04,22.41,5.0,0.2231,1900-01-01 18:55:00,1900-01-01 19:40:00,0:45,Frisco,Residential
1109,2018-08-10,24.57,0.43,0.0175,1900-01-01 20:30:00,1900-01-01 21:15:00,0:45,Frisco,Residential
1102,2018-08-10,47.31,10.0,0.2114,1900-01-01 18:15:00,1900-01-01 19:00:00,0:45,Frisco,Residential
1127,2018-08-17,24.03,4.0,0.1665,1900-01-01 18:13:00,1900-01-01 18:58:00,0:45,Frisco,Residential
1132,2018-08-18,39.94,4.0,0.1002,1900-01-01 17:24:00,1900-01-01 18:09:00,0:45,Frisco,Residential
1156,2018-08-31,101.3,15.0,0.1481,1900-01-01 19:35:00,1900-01-01 20:20:00,0:45,Frisco,Residential
1181,2018-09-06,29.99,5.0,0.1667,1900-01-01 19:10:00,1900-01-01 19:55:00,0:45,Frisco,Residential
1183,2018-09-07,54.88,5.0,0.0911,1900-01-01 18:30:00,1900-01-01 19:15:00,0:45,Frisco,Residential
1044,2018-07-08,111.5,25.0,0.2242,1900-01-01 17:54:00,1900-01-01 18:40:00,0:46,Frisco,Residential
1098,2018-08-05,69.71,10.0,0.1435,1900-01-01 17:29:00,1900-01-01 18:15:00,0:46,Frisco,Residential
1234,2018-09-22,36.48,5.0,0.1371,1900-01-01 17:49:00,1900-01-01 18:35:00,0:46,Frisco,Residential
1245,2018-09-23,42.7,8.0,0.1874,1900-01-01 16:51:00,1900-01-01 17:37:00,0:46,Frisco,Residential
1134,2018-08-18,104.46,10.0,0.0957,1900-01-01 18:18:00,1900-01-01 19:05:00,0:47,Frisco,Residential
1157,2018-08-31,38.65,10.0,0.2587,1900-01-01 19:44:00,1900-01-01 20:31:00,0:47,Frisco,Residential
1095,2018-08-04,47.31,8.0,0.1691,1900-01-01 19:57:00,1900-01-01 20:45:00,0:48,Frisco,Residential
1096,2018-08-05,25.44,5.0,0.1965,1900-01-01 17:07:00,1900-01-01 17:55:00,0:48,Frisco,Residential
1228,2018-09-21,50.23,9.76,0.1943,1900-01-01 19:23:00,1900-01-01 20:11:00,0:48,Frisco,Residential
1251,2018-09-23,26.74,2.0,0.0748,1900-01-01 18:44:00,1900-01-01 19:32:00,0:48,Frisco,Residential
1046,2018-07-08,19.97,4.0,0.2003,1900-01-01 18:11:00,1900-01-01 19:00:00,0:49,Frisco,Residential
1161,2018-08-31,53.75,10.0,0.186,1900-01-01 20:53:00,1900-01-01 21:42:00,0:49,Frisco,Residential
1072,2018-07-23,38.1,10.0,0.2625,1900-01-01 17:57:00,1900-01-01 18:48:00,0:51,Frisco,Residential
1124,2018-08-12,48.66,7.0,0.1439,1900-01-01 17:42:00,1900-01-01 18:33:00,0:51,Frisco,Residential
1160,2018-08-31,28.9,5.0,0.173,1900-01-01 20:37:00,1900-01-01 21:28:00,0:51,Frisco,Residential
1198,2018-09-08,23.27,16.73,0.719,1900-01-01 20:34:00,1900-01-01 21:25:00,0:51,Frisco,Residential
1219,2018-09-16,46.44,7.0,0.1507,1900-01-01 18:34:00,1900-01-01 19:25:00,0:51,Frisco,Residential
1058,2018-07-20,49.74,7.0,0.1407,1900-01-01 19:25:00,1900-01-01 20:17:00,0:52,Frisco,Residential
1158,2018-08-31,18.35,5.0,0.2725,1900-01-01 19:49:00,1900-01-01 20:41:00,0:52,Frisco,Residential
1224,2018-09-21,47.79,10.0,0.2092,1900-01-01 17:58:00,1900-01-01 18:50:00,0:52,Frisco,Residential
1154,2018-08-31,50.55,8.0,0.1583,1900-01-01 18:15:00,1900-01-01 19:08:00,0:53,Frisco,Residential
1178,2018-09-06,115.02,15.0,0.1304,1900-01-01 18:52:00,1900-01-01 19:45:00,0:53,Frisco,Residential
1236,2018-09-22,38.37,3.0,0.0782,1900-01-01 18:28:00,1900-01-01 19:21:00,0:53,Frisco,Residential
1014,2018-06-29,66.74,12.0,0.1798,1900-01-01 19:13:00,1900-01-01 20:07:00,0:54,Frisco,Residential
1097,2018-08-05,51.91,10.0,0.1926,1900-01-01 17:11:00,1900-01-01 18:05:00,0:54,Frisco,Residential
1128,2018-08-17,38.37,5.0,0.1303,1900-01-01 18:19:00,1900-01-01 19:13:00,0:54,Frisco,Residential
1024,2018-07-06,71.72,9.0,0.1255,1900-01-01 17:40:00,1900-01-01 18:35:00,0:55,Frisco,Residential
1114,2018-08-11,33.02,3.0,0.0909,1900-01-01 19:05:00,1900-01-01 20:00:00,0:55,Frisco,Residential
1123,2018-08-12,28.62,7.0,0.2446,1900-01-01 17:32:00,1900-01-01 18:27:00,0:55,Frisco,Residential
1196,2018-09-08,88.61,5.0,0.0564,1900-01-01 19:45:00,1900-01-01 20:40:00,0:55,Frisco,Residential
1246,2018-09-23,44.33,7.0,0.1579,1900-01-01 17:16:00,1900-01-01 18:11:00,0:55,Frisco,Residential
1027,2018-07-06,57.59,5.0,0.0868,1900-01-01 17:59:00,1900-01-01 18:56:00,0:57,Frisco,Residential
1208,2018-09-15,50.55,10.0,0.1978,1900-01-01 16:58:00,1900-01-01 17:55:00,0:57,Frisco,Residential
1240,2018-09-22,19.43,3.0,0.1544,1900-01-01 20:06:00,1900-01-01 21:03:00,0:57,Frisco,Residential
1250,2018-09-23,29.77,3.0,0.1008,1900-01-01 18:25:00,1900-01-01 19:22:00,0:57,Frisco,Residential
1135,2018-08-18,62.19,20.0,0.3216,1900-01-01 19:17:00,1900-01-01 20:15:00,0:58,Frisco,Residential
1026,2018-07-06,27.82,4.17,0.1499,1900-01-01 17:44:00,1900-01-01 18:43:00,0:59,Frisco,Residential
1037,2018-07-08,46.44,5.0,0.1077,1900-01-01 13:13:00,1900-01-01 14:12:00,0:59,Frisco,Residential
1184,2018-09-07,39.13,5.0,0.1278,1900-01-01 18:32:00,1900-01-01 19:31:00,0:59,Frisco,Residential
1229,2018-09-21,34.59,4.41,0.1275,1900-01-01 19:26:00,1900-01-01 20:25:00,0:59,Frisco,Residential
1237,2018-09-22,28.15,5.0,0.1776,1900-01-01 18:43:00,1900-01-01 19:42:00,0:59,Frisco,Residential
1010,2018-06-29,36.48,8.0,0.2193,1900-01-01 17:44:00,1900-01-01 18:45:00,1:01,Frisco,Residential
1195,2018-09-08,29.71,4.0,0.1346,1900-01-01 19:26:00,1900-01-01 20:27:00,1:01,Frisco,Residential
1115,2018-08-11,36.75,8.0,0.2177,1900-01-01 19:10:00,1900-01-01 20:12:00,1:02,Frisco,Residential
1153,2018-08-31,49.25,6.0,0.1218,1900-01-01 17:59:00,1900-01-01 19:01:00,1:02,Frisco,Residential
1203,2018-09-10,43.24,5.0,0.1156,1900-01-01 18:19:00,1900-01-01 19:21:00,1:02,Frisco,Residential
1225,2018-09-21,23.49,15.51,0.6603,1900-01-01 18:03:00,1900-01-01 19:05:00,1:02,Frisco,Residential
1185,2018-09-07,12.45,25.0,2.008,1900-01-01 18:36:00,1900-01-01 19:39:00,1:03,Frisco,Residential
1116,2018-08-11,50.82,5.0,0.0984,1900-01-01 19:17:00,1900-01-01 20:21:00,1:04,Frisco,Residential
1142,2018-08-19,26.03,6.0,0.2305,1900-01-01 18:34:00,1900-01-01 19:38:00,1:04,Frisco,Residential
1199,2018-09-08,43.19,4.0,0.0926,1900-01-01 20:32:00,1900-01-01 21:36:00,1:04,Frisco,Residential
1076,2018-07-23,64.79,5.0,0.0772,1900-01-01 19:11:00,1900-01-01 20:16:00,1:05,Frisco,Residential
1129,2018-08-17,66.03,4.0,0.0606,1900-01-01 18:21:00,1900-01-01 19:26:00,1:05,Frisco,Residential
1220,2018-09-16,19.7,4.0,0.203,1900-01-01 18:35:00,1900-01-01 19:40:00,1:05,Frisco,Residential
1218,2018-09-16,43.79,7.0,0.1599,1900-01-01 18:07:00,1900-01-01 19:12:00,1:05,Frisco,Residential
1011,2018-06-29,29.66,5.0,0.1686,1900-01-01 17:49:00,1900-01-01 18:55:00,1:06,Frisco,Residential
1172,2018-09-03,39.97,4.23,0.1058,1900-01-01 16:59:00,1900-01-01 18:06:00,1:07,Frisco,Residential
1136,2018-08-18,14.83,4.0,0.2697,1900-01-01 19:24:00,1900-01-01 20:32:00,1:08,Frisco,Residential
1222,2018-09-16,35.67,5.0,0.1402,1900-01-01 19:08:00,1900-01-01 20:17:00,1:09,Frisco,Residential
1217,2018-09-16,49.69,10.0,0.2012,1900-01-01 17:55:00,1900-01-01 19:05:00,1:10,Frisco,Residential
1226,2018-09-21,42.65,6.0,0.1407,1900-01-01 18:01:00,1900-01-01 19:13:00,1:12,Frisco,Residential
1176,2018-09-03,18.89,10.0,0.5294,1900-01-01 19:06:00,1900-01-01 20:19:00,1:13,Frisco,Residential
1155,2018-08-31,20.24,5.0,0.247,1900-01-01 18:09:00,1900-01-01 19:23:00,1:14,Frisco,Residential
1180,2018-09-06,36.53,3.4699999999999998,0.095,1900-01-01 19:04:00,1900-01-01 20:18:00,1:14,Frisco,Residential
1227,2018-09-21,25.44,4.5600000000000005,0.1792,1900-01-01 18:10:00,1900-01-01 19:24:00,1:14,Frisco,Residential
1179,2018-09-06,30.58,10.0,0.327,1900-01-01 19:11:00,1900-01-01 20:26:00,1:15,Frisco,Residential
1223,2018-09-16,33.5,3.0,0.0896,1900-01-01 19:15:00,1900-01-01 20:32:00,1:17,Frisco,Residential
1170,2018-09-01,171.79,40.0,0.2328,1900-01-01 20:51:00,1900-01-01 21:42:00,0:51,Lewisville,Residential
1137,2018-08-18,95.42,10.0,0.1048,1900-01-01 20:25:00,1900-01-01 21:23:00,0:58,Lewisville,Residential
1244,2018-09-23,85.14,5.0,0.0587,1900-01-01 16:29:00,1900-01-01 17:21:00,0:52,McKinney,Residential
1117,2018-08-11,51.31,10.0,0.1949,1900-01-01 20:50:00,1900-01-01 20:50:00,0:00,Plano,Residential
1061,2018-07-21,21.05,2.0,0.095,1900-01-01 18:00:00,1900-01-01 18:20:00,0:20,Plano,Residential
1060,2018-07-21,30.26,9.74,0.3219,1900-01-01 17:18:00,1900-01-01 17:41:00,0:23,Plano,Residential
1031,2018-07-06,27.01,5.0,0.1851,1900-01-01 21:25:00,1900-01-01 21:49:00,0:24,Plano,Residential
1040,2018-07-08,54.83,4.0,0.073,1900-01-01 14:59:00,1900-01-01 15:24:00,0:25,Plano,Residential
1086,2018-07-29,26.47,5.0,0.1889,1900-01-01 19:37:00,1900-01-01 20:02:00,0:25,Plano,Residential
1212,2018-09-15,45.19,7.0,0.1549,1900-01-01 19:53:00,1900-01-01 20:18:00,0:25,Plano,Residential
1126,2018-08-12,17.0,15.0,0.8824,1900-01-01 19:30:00,1900-01-01 19:56:00,0:26,Plano,Residential
1192,2018-09-08,45.36,10.0,0.2205,1900-01-01 17:56:00,1900-01-01 18:23:00,0:27,Plano,Residential
1055,2018-07-20,59.65,10.0,0.1676,1900-01-01 17:45:00,1900-01-01 18:13:00,0:28,Plano,Residential
1091,2018-08-04,41.84,6.0,0.1434,1900-01-01 18:02:00,1900-01-01 18:30:00,0:28,Plano,Residential
1062,2018-07-21,33.02,8.98,0.272,1900-01-01 19:13:00,1900-01-01 19:42:00,0:29,Plano,Residential
1042,2018-07-08,52.12,7.0,0.1343,1900-01-01 17:10:00,1900-01-01 17:40:00,0:30,Plano,Residential
1049,2018-07-14,34.86,4.0,0.1147,1900-01-01 19:34:00,1900-01-01 20:04:00,0:30,Plano,Residential
1084,2018-07-29,37.51,5.0,0.1333,1900-01-01 17:55:00,1900-01-01 18:26:00,0:31,Plano,Residential
1209,2018-09-15,22.41,3.0,0.1339,1900-01-01 18:13:00,1900-01-01 18:44:00,0:31,Plano,Residential
1182,2018-09-07,54.56,15.0,0.2749,1900-01-01 18:05:00,1900-01-01 18:37:00,0:32,Plano,Residential
1016,2018-06-30,52.12,3.0,0.0576,1900-01-01 18:48:00,1900-01-01 19:21:00,0:33,Plano,Residential
1015,2018-06-30,34.32,8.0,0.2331,1900-01-01 17:11:00,1900-01-01 17:45:00,0:34,Plano,Residential
1054,2018-07-15,33.18,7.0,0.211,1900-01-01 19:14:00,1900-01-01 19:48:00,0:34,Plano,Residential
1131,2018-08-17,72.2,8.0,0.1108,1900-01-01 19:59:00,1900-01-01 20:33:00,0:34,Plano,Residential
1149,2018-08-25,24.3,3.0,0.1235,1900-01-01 18:52:00,1900-01-01 19:26:00,0:34,Plano,Residential
1111,2018-08-11,23.82,8.18,0.3434,1900-01-01 18:24:00,1900-01-01 19:00:00,0:36,Plano,Residential
1059,2018-07-20,37.35,7.65,0.2048,1900-01-01 20:43:00,1900-01-01 21:20:00,0:37,Plano,Residential
1162,2018-09-01,28.63,7.0,0.2445,1900-01-01 18:00:00,1900-01-01 18:38:00,0:38,Plano,Residential
1146,2018-08-25,27.06,5.0,0.1848,1900-01-01 17:45:00,1900-01-01 18:24:00,0:39,Plano,Residential
1068,2018-07-22,28.69,7.31,0.2548,1900-01-01 18:54:00,1900-01-01 19:34:00,0:40,Plano,Residential
1110,2018-08-11,37.35,8.0,0.2142,1900-01-01 18:10:00,1900-01-01 18:50:00,0:40,Plano,Residential
1150,2018-08-25,35.61,6.0,0.1685,1900-01-01 18:59:00,1900-01-01 19:39:00,0:40,Plano,Residential
1070,2018-07-22,33.56,3.0,0.0894,1900-01-01 19:45:00,1900-01-01 20:27:00,0:42,Plano,Residential
1104,2018-08-10,93.96,10.0,0.1064,1900-01-01 19:18:00,1900-01-01 20:00:00,0:42,Plano,Residential
