"scalar","mapId","level","mode","layoutRole","observedXpPerMinute","projectedXpPerMinute","beforeXpPerMinute","projectedChangeVersusBeforePercent","observedChangeVersusBeforePercent","ordinaryMedianXpPerMinute","ordinaryMedianDeviationPercent","deepPremiumPercent","targetViolationPoints","xpWithinTarget","observedKillsPerMinute","beforeKillsPerMinute"
"0.875","orebackQuarry","28","duelist","deepField","12029.2","12029.2","10451.533","15.095","15.095","11199.941","7.404","7.404","2.596","false","27.733","24.733"
"0.875","orebackQuarry","28","fireMage","deepField","11855.6","11855.6","10816.333","9.608","9.608","11796.866","0.498","0.498","9.502","false","27.333","25.6"
"0.875","orebackQuarry","28","runeMage","deepField","13173.933","13173.933","11730.467","12.305","12.305","11748.684","12.131","12.131","0","true","30.4","27.667"
"0.875","orebackQuarry","28","stormMage","deepField","10308.333","10308.333","10003.667","3.046","3.046","11389.7","-9.494","-9.494","19.494","false","24.067","23.6"
"0.875","orebackQuarry","28","sniper","deepField","9017.333","9017.333","8583.533","5.054","5.054","10171.934","-11.351","-11.351","21.351","false","20.733","20.133"
"0.875","orebackQuarry","28","trapper","deepField","10997.533","10997.533","10368.333","6.068","6.068","10999.1","-0.014","-0.014","10.014","false","25.4","24.2"
"0.875","orebackQuarry","28","beastArcher","deepField","11094.667","11094.667","9385.8","18.207","18.207","11516.05","-3.659","-3.659","13.659","false","25.467","21.867"
"0.875","orebackQuarry","28","party","deepField","15447.267","15447.267","13895.933","11.164","11.164","11662.934","32.448","32.448","12.448","false","35.533","32.933"
"0.9","rustcoilRuins","19","fighter","trainingField","8744.533","8744.533","7777.467","12.434","12.434","9349.056","-6.466","","0","true","34.4","28.067"
"0.9","rustcoilRuins","19","mage","trainingField","8413.4","8413.4","7240.067","16.206","16.206","9380.98","-10.314","","0","true","33.4","26.067"
"0.9","rustcoilRuins","19","archer","trainingField","8301.8","8301.8","8003.667","3.725","3.725","9587.5","-13.41","","0","true","32.4","28.8"
"0.9","rustcoilRuins","19","party","trainingField","8833.333","8833.333","8196.4","7.771","7.771","9564.337","-7.643","","0","true","34.667","29.667"
"0.9","cinderHollow","19","fighter","trainingField","11059.533","9953.58","7807","27.496","41.662","9349.056","6.466","","0","true","35.667","25.733"
"0.9","cinderHollow","19","mage","trainingField","11498.4","10348.56","7703.533","34.335","49.261","9380.98","10.314","","0","true","37.6","25.667"
"0.9","cinderHollow","19","archer","trainingField","12081.333","10873.2","7843.933","38.619","54.021","9587.5","13.41","","0","true","39.6","26.133"
"0.9","cinderHollow","19","party","trainingField","11439.267","10295.34","7859.267","30.996","45.551","9564.337","7.643","","0","true","37.333","25.733"
"0.9","banditRidgeCamp","19","fighter","deepField","8828.8","8828.8","8974.067","-1.619","-1.619","9349.056","-5.565","-5.565","15.565","false","37.467","38.067"
"0.9","banditRidgeCamp","19","mage","deepField","9700.2","9700.2","9702.333","-0.022","-0.022","9380.98","3.403","3.403","6.597","false","41.067","41.067"
"0.9","banditRidgeCamp","19","archer","deepField","6366.467","6366.467","6617","-3.786","-3.786","9587.5","-33.596","-33.596","43.596","false","27","28.267"
"0.9","banditRidgeCamp","19","party","deepField","10100.133","10100.133","10884.067","-7.203","-7.203","9564.337","5.602","5.602","4.398","false","42.933","46.2"
"0.9","cinderHollow","28","fighter","trainingField","12165.2","10948.68","9247.533","18.396","31.551","10948.68","0","","0","true","33.2","26.067"
"0.9","cinderHollow","28","mage","trainingField","14842.867","13358.58","9546.467","39.932","55.48","13358.58","0","","0","true","40.667","26.867"
"0.9","cinderHollow","28","archer","trainingField","14421.533","12979.38","8783.867","47.764","64.182","12979.38","0","","0","true","39.4","24.667"
"0.9","cinderHollow","28","guardian","trainingField","12420.8","11178.72","8865.467","26.093","40.103","11178.72","0","","0","true","33.867","24.933"
"0.9","cinderHollow","28","berserker","trainingField","12340.2","11106.18","8572.867","29.55","43.945","11106.18","0","","0","true","33.733","24.333"
"0.9","cinderHollow","28","duelist","trainingField","12799.933","11519.94","8818.2","30.638","45.154","11519.94","0","","0","true","35.067","24.8"
"0.9","cinderHollow","28","fireMage","trainingField","13482.133","12133.92","9059.6","33.934","48.816","12133.92","0","","0","true","36.933","25.533"
"0.9","cinderHollow","28","runeMage","trainingField","13427.067","12084.36","9356.333","29.157","43.508","12084.36","0","","0","true","36.667","26.333"
"0.9","cinderHollow","28","stormMage","trainingField","13016.8","11715.12","9065.067","29.234","43.593","11715.12","0","","0","true","35.533","25.667"
"0.9","cinderHollow","28","sniper","trainingField","11625.067","10462.56","8033.267","30.24","44.712","10462.56","0","","0","true","31.733","22.733"
"0.9","cinderHollow","28","trapper","trainingField","12570.4","11313.36","8580.067","31.856","46.507","11313.36","0","","0","true","34.2","24.067"
